truth_values,adarel,svr,rf
0.974706414,0.993010436,0.979929094,0.962239647
0.978920742,0.991345729,0.989329496,0.974860831
0.992771084,0.989658578,0.99079239,0.989754279
0.817266549,0.990798862,0.996504452,0.979950463
0.876197494,0.989080019,0.960955074,0.9597581
0.986770896,0.987332164,0.964419854,0.962185982
0.978660344,0.987112243,0.993485373,0.991518934
0.975639464,0.985304002,0.990920892,0.983143741
0.996348144,0.982949483,0.989550448,0.956678911
0.986263736,0.985139805,0.997862384,0.952289173
0.994584263,0.985540285,0.993383483,0.990657564
0.990956072,0.98745835,0.996558799,0.996277164
0.624086022,0.988737978,0.995508415,0.993797342
0.994823123,0.986774262,0.976049295,0.959311955
0.995175439,0.988826583,0.997044394,0.989592505
0.988668555,0.990759209,0.997256643,0.976488944
0.98603352,0.989977567,0.994698224,0.957260828
0.991009682,0.988510542,0.993531894,0.991340631
0.988764045,0.9894217,0.99543531,0.966223751
1,0.989167911,0.994468984,0.878496258
1,0.991216373,0.998800091,0.997655819
0.97037037,0.993268943,0.998800091,0.997658262
1,0.991199712,0.987849722,0.980744114
0.996987952,0.993270421,0.998838911,0.997628977
0.992628993,0.994636788,0.997660217,0.976164437
0.935483871,0.993889518,0.995899368,0.991403308
0.974895397,0.991796453,0.977513457,0.992059975
0.996683921,0.989683573,0.989228716,0.979408295
0.984194529,0.991798571,0.997623585,0.993729592
0.97260274,0.98966442,0.992659424,0.990846628
0.992138728,0.987506645,0.98856338,0.986441509
0.994539249,0.989205193,0.995890172,0.994725994
0.995327103,0.991164702,0.996631549,0.996303934
0.999068901,0.99269336,0.996948524,0.993044632
0.995961228,0.994872788,0.998393359,0.993747595
0.992473118,0.99526951,0.997198041,0.989267849
0.994578313,0.994231527,0.996006932,0.745903703
0.993874426,0.994353643,0.996645565,0.995068897
1,0.994170745,0.996520153,0.996351565
0.964912281,0.996318091,0.99933645,0.997629247
0.991967871,0.994114414,0.985886405,0.991472479
1,0.993315348,0.995804842,0.992597295
1,0.995523761,0.999114571,0.997593946
0.382857143,0.997172629,0.999114571,0.997596063
1,0.994954283,1.015719458,0.996097126
0.136,0.996812963,0.998803541,0.996785456
1,0.994586636,1.009135901,0.99960331
0.990049751,0.996580765,0.999204787,0.996023647
0.928571429,0.994345895,0.995373105,0.986116859
